Date,BBCA.JK,BBRI.JK,BMRI.JK,TLKM.JK,ASII.JK,UNVR.JK,ICBP.JK,INDF.JK,ANTM.JK,BRPT.JK,CPIN.JK,EXCL.JK,GGRM.JK,HMSP.JK,KLBF.JK,MDKA.JK,PGAS.JK,PTBA.JK,SCMA.JK,TINS.JK,TKIM.JK,TOWR.JK,UNTR.JK,WIKA.JK,ADRO.JK,BSDE.JK,ELSA.JK,INTP.JK,JPFA.JK,SMGR.JK
2023-11-29,8358.078125,4601.77294921875,5056.650390625,3249.827880859375,4653.93359375,3298.957763671875,10055.76953125,5938.3681640625,1494.056640625,1027.41796875,4909.97509765625,2036.754638671875,20157.908203125,816.04736328125,1536.3682861328125,2460.0,929.724853515625,1855.820556640625,135.5801239013672,617.223388671875,7395.2431640625,935.8125610351562,19134.951171875,392.0,1947.7335205078125,1080.0,356.89410400390625,8849.982421875,1082.4610595703125,6052.2138671875
2023-11-30,8428.51171875,4580.06689453125,5056.650390625,3284.772216796875,4548.64111328125,3317.133544921875,11061.345703125,5938.3681640625,1529.2110595703125,1042.38037109375,5055.81591796875,1999.037109375,19992.291015625,803.4281005859375,1545.9405517578125,2530.0,913.3421020507812,1855.820556640625,133.03802490234375,584.2420043945312,7171.89697265625,945.2652587890625,18666.166015625,378.0,1977.9307861328125,1060.0,358.61822509765625,9603.1728515625,1082.4610595703125,6146.7802734375
2023-12-01,8405.033203125,4645.185546875,5099.86962890625,3345.925048828125,4843.46044921875,3298.957763671875,10079.7109375,5845.94189453125,1498.4510498046875,1012.4556274414062,4861.361328125,1961.3194580078125,19897.654296875,803.4281005859375,1593.802490234375,2590.0,917.4378051757812,1863.4892578125,129.6485137939453,612.5117797851562,7246.345703125,888.54931640625,18879.251953125,384.0,1932.6346435546875,1050.0,353.44586181640625,8991.205078125,1091.6734619140625,6194.06298828125
2023-12-04,8421.546875,4775.4248046875,5186.30859375,3328.452880859375,4843.46044921875,3298.957763671875,10055.76953125,5869.04833984375,1537.99951171875,1012.4556274414062,4885.66845703125,1951.8900146484375,19897.654296875,790.8087768554688,1569.8714599609375,2640.0,921.5335083007812,1886.4951171875,130.49588012695312,626.6466674804688,7097.4482421875,912.1809692382812,19113.64453125,376.0,1932.6346435546875,1035.0,348.2734680175781,8802.908203125,1100.885986328125,6099.4970703125
2023-12-05,8397.9560546875,4732.01171875,5164.69873046875,3363.397216796875,4822.40185546875,3347.974853515625,10223.365234375,5984.5810546875,1533.605224609375,1047.3677978515625,4958.58837890625,1933.0311279296875,19732.037109375,782.3958740234375,1589.016357421875,2520.0,913.3421020507812,1855.820556640625,131.34326171875,617.223388671875,7122.26416015625,926.3599853515625,18794.017578125,368.0,1894.8878173828125,1050.0,348.2734680175781,8920.5947265625,1114.70458984375,6028.57275390625
2023-12-06,8303.59765625,4710.30517578125,5013.431640625,3424.5498046875,4822.40185546875,3246.24072265625,10199.4228515625,6007.6875,1494.056640625,1306.716064453125,4909.97509765625,2017.89599609375,19921.3125,765.5701904296875,1627.3057861328125,2500.0,921.5335083007812,1848.1517333984375,131.34326171875,636.0698852539062,7047.81591796875,898.0020141601562,18431.7734375,344.0,1909.9864501953125,1025.0,346.5493469238281,8944.1318359375,1128.523193359375,6075.85595703125
2023-12-07,8327.1875,4753.71826171875,4970.2119140625,3415.813720703125,4780.28515625,3301.73193359375,10199.4228515625,5961.474609375,1436.9310302734375,1595.9891357421875,4841.916015625,1951.8900146484375,19779.35546875,757.1572875976562,1598.588623046875,2540.0,905.1506958007812,1855.820556640625,129.6485137939453,617.223388671875,6700.38818359375,855.465087890625,18495.697265625,332.0,1909.9864501953125,1010.0,337.9287109375,8967.6689453125,1123.9169921875,5957.6484375
2023-12-08,8256.41796875,4666.892578125,4926.99267578125,3442.02197265625,4780.28515625,3246.24072265625,10510.6728515625,5915.26171875,1480.873779296875,1745.613037109375,4885.66845703125,1923.601806640625,19684.71875,757.1572875976562,1574.65771484375,2470.0,905.1506958007812,1848.1517333984375,127.10636901855469,603.0885009765625,6700.38818359375,855.465087890625,19007.099609375,316.0,1932.6346435546875,1015.0,336.20458984375,8826.4453125,1114.70458984375,5957.6484375
2023-12-11,8256.41796875,4601.77294921875,4991.82177734375,3476.966552734375,4717.109375,3236.9921875,10079.7109375,5892.15478515625,1454.508056640625,1710.7008056640625,4934.28173828125,1834.022216796875,19542.76171875,748.7445068359375,1560.2991943359375,2370.0,905.1506958007812,1817.4771728515625,125.41162872314453,584.2420043945312,6477.0419921875,888.54931640625,18602.2421875,254.0,1932.6346435546875,1010.0,334.48046875,8873.51953125,1091.6734619140625,5792.158203125
2023-12-12,8209.23828125,4623.4794921875,5013.431640625,3415.813720703125,4696.05126953125,3172.25244140625,10175.48046875,5938.3681640625,1428.1424560546875,1750.6005859375,4861.361328125,1819.8780517578125,19306.166015625,736.1251831054688,1541.154296875,2340.0,892.863525390625,1802.1397705078125,127.10636901855469,584.2420043945312,6874.10205078125,912.1809692382812,18623.548828125,232.0,1925.0853271484375,1020.0,327.5839538574219,8849.982421875,1100.885986328125,5839.44091796875
2023-12-13,8185.6494140625,4601.77294921875,4948.6025390625,3424.5498046875,4653.93359375,3190.74951171875,10103.6533203125,5915.26171875,1401.7767333984375,1705.7132568359375,4909.97509765625,1815.1634521484375,19873.994140625,757.1572875976562,1541.154296875,2290.0,884.672119140625,1763.79638671875,125.41162872314453,574.8187255859375,7072.6318359375,935.8125610351562,17835.13671875,195.0,1849.5919189453125,1010.0,320.6874694824219,8755.833984375,1105.4921875,5886.72412109375
